,Site,Year,TreeSp
An02H 7-PA1,An,02,PICE ABI
An02H 7-PA2,An,02,PICE ABI
An02H 7-PA3,An,02,PICE ABI
An02H 7-PA4,An,02,PICE ABI
An02H 7-PA5,An,02,PICE ABI
An02H 8-PA1,An,02,PICE ABI
An02H 8-PA2,An,02,PICE ABI
An02H 8-PA3,An,02,PICE ABI
An02H 8-PA4,An,02,PICE ABI
An02H 8-PA5,An,02,PICE ABI
An02J 5-PA1,An,02,PICE ABI
An02J 5-PA2,An,02,PICE ABI
An02J 5-PS3,An,02,PINU SYL
An02J 5-PA4,An,02,PICE ABI
An02J 5-PA5,An,02,PICE ABI
An02L10-PA1,An,02,PICE ABI
An02L10-PA2,An,02,PICE ABI
An02L10-PA3,An,02,PICE ABI
An02L10-PA4,An,02,PICE ABI
An02L10-PA5,An,02,PICE ABI
An07H 4-PA1,An,07,PICE ABI
An07H 4-PA2,An,07,PICE ABI
An07H 4-PA3,An,07,PICE ABI
An07H 4-PA4,An,07,PICE ABI
An07H 4-PA5,An,07,PICE ABI
An07I 7-PA1,An,07,PICE ABI
An07I 7-PA2,An,07,PICE ABI
An07I 7-BZ3,An,07,BETULA Z
An07I 7-PA4,An,07,PICE ABI
An07I 7-PA5,An,07,PICE ABI
An07I 8-PA1,An,07,PICE ABI
An07I 8-PA2,An,07,PICE ABI
An07I 8-PA3,An,07,PICE ABI
An07I 8-PA4,An,07,PICE ABI
An07I 8-PA5,An,07,PICE ABI
An07J 5-PS3,An,07,PINU SYL
An07J 5-PA6,An,07,PICE ABI
An07J 5-BZ7,An,07,BETULA Z
An07J 5-PA8,An,07,PICE ABI
An07J 5-PA9,An,07,PICE ABI
An12I 8-PA4,An,12,PICE ABI
An12I 8-PT6,An,12,POPU TRA
An12I 8-PA7,An,12,PICE ABI
An12I 8-PA8,An,12,PICE ABI
An12I 8-PA9,An,12,PICE ABI
An12H 4-PA1,An,12,PICE ABI
An12H 4-PA2,An,12,PICE ABI
An12H 4-PA3,An,12,PICE ABI
An12H 4-PA6,An,12,PICE ABI
An12H 4-PA7,An,12,PICE ABI
An12J 5-PS3,An,12,PINU SYL
An12J 5-PA10,An,12,PICE ABI
An12J 5-PA11,An,12,PICE ABI
An12J 5-PA12,An,12,PICE ABI
An12J 5-PA13,An,12,PICE ABI
An12J 7-PA1,An,12,PICE ABI
An12J 7-PA2,An,12,PICE ABI
An12J 7-PA3,An,12,PICE ABI
An12J 7-PS4,An,12,PINU SYL
An12J 7-BP5,An,12,BETU PUB
An97H 7-PA1,An,97,PICE ABI
An97H 7-PA2,An,97,PICE ABI
An97H 7-PA3,An,97,PICE ABI
An97H 7-PA4,An,97,PICE ABI
An97H 7-PA5,An,97,PICE ABI
An97H 8-PA1,An,97,PICE ABI
An97H 8-PA2,An,97,PICE ABI
An97H 8-PA3,An,97,PICE ABI
An97H 8-PA4,An,97,PICE ABI
An97H 8-PA5,An,97,PICE ABI
An97J 5-PA1,An,97,PICE ABI
An97J 5-PA2,An,97,PICE ABI
An97J 5-PS3,An,97,PINU SYL
An97J 5-PA4,An,97,PICE ABI
An97J 5-PA5,An,97,PICE ABI
An97L10-PA1,An,97,PICE ABI
An97L10-PA2,An,97,PICE ABI
An97L10-PA3,An,97,PICE ABI
An97L10-PA4,An,97,PICE ABI
An97L10-PA5,An,97,PICE ABI
Ga00C12-PS9,Ga,00,PINU SYL
Ga00C12-BZ10,Ga,00,BETULA Z
Ga00C12-PS11,Ga,00,PINU SYL
Ga00C12-PS12,Ga,00,PINU SYL
Ga00E10-PA17,Ga,00,PICE ABI
Ga00E10-SC18,Ga,00,SALI CAP
Ga00E10-PA19,Ga,00,PICE ABI
Ga00E10-PA20,Ga,00,PICE ABI
Ga00E12-PT5,Ga,00,POPU TRA
Ga00E12-PA6,Ga,00,PICE ABI
Ga00E12-PA7,Ga,00,PICE ABI
Ga00E12-PS8,Ga,00,PINU SYL
Ga00E14-PS13,Ga,00,PINU SYL
Ga00E14-PA14,Ga,00,PICE ABI
Ga00E14-PS15,Ga,00,PINU SYL
Ga00E14-PS16,Ga,00,PINU SYL
Ga00G12-PS1,Ga,00,PINU SYL
Ga00G12-PA2,Ga,00,PICE ABI
Ga00G12-PA3,Ga,00,PICE ABI
Ga00G12-PS4,Ga,00,PINU SYL
Ga05C12-PS9,Ga,05,PINU SYL
Ga05C12-BZ10,Ga,05,BETULA Z
Ga05C12-PS11,Ga,05,PINU SYL
Ga05C12-PS12,Ga,05,PINU SYL
Ga05E10-PA17,Ga,05,PICE ABI
Ga05E10-SC18,Ga,05,SALI CAP
Ga05E10-PA19,Ga,05,PICE ABI
Ga05E10-PA20,Ga,05,PICE ABI
Ga05E12-PT5,Ga,05,POPU TRA
Ga05E12-PA6,Ga,05,PICE ABI
Ga05E12-PA7,Ga,05,PICE ABI
Ga05E12-PS8,Ga,05,PINU SYL
Ga05E14-PS13,Ga,05,PINU SYL
Ga05E14-PA14,Ga,05,PICE ABI
Ga05E14-PS15,Ga,05,PINU SYL
Ga05E14-PS16,Ga,05,PINU SYL
Ga05G12-PS1,Ga,05,PINU SYL
Ga05G12-PA2,Ga,05,PICE ABI
Ga05G12-PA3,Ga,05,PICE ABI
Ga05G12-PS4,Ga,05,PINU SYL
Ga10C12-PS9,Ga,10,PINU SYL
Ga10C12-BZ10,Ga,10,BETULA Z
Ga10C12-PS11,Ga,10,PINU SYL
Ga10C12-PS12,Ga,10,PINU SYL
Ga10E10-PA17,Ga,10,PICE ABI
Ga10E10-SC18,Ga,10,SALI CAP
Ga10E10-PA19,Ga,10,PICE ABI
Ga10E10-PA20,Ga,10,PICE ABI
Ga10E12-PT5,Ga,10,POPU TRA
Ga10E12-PA6,Ga,10,PICE ABI
Ga10E12-PA7,Ga,10,PICE ABI
Ga10E12-PS8,Ga,10,PINU SYL
Ga10E14-PS13,Ga,10,PINU SYL
Ga10E14-PA14,Ga,10,PICE ABI
Ga10E14-PS15,Ga,10,PINU SYL
Ga10E14-PS16,Ga,10,PINU SYL
Ga10G12-PS1,Ga,10,PINU SYL
Ga10G12-PA2,Ga,10,PICE ABI
Ga10G12-PA3,Ga,10,PICE ABI
Ga10G12-PS4,Ga,10,PINU SYL
Ga15C12-PS9,Ga,15,PINU SYL
Ga15C12-BZ10,Ga,15,BETULA Z
Ga15C12-PS11,Ga,15,PINU SYL
Ga15C12-PS12,Ga,15,PINU SYL
Ga15E10-PA17,Ga,15,PICE ABI
Ga15E10-SC18,Ga,15,SALI CAP
Ga15E10-PA19,Ga,15,PICE ABI
Ga15E10-PA20,Ga,15,PICE ABI
Ga15E12-PT5,Ga,15,POPU TRA
Ga15E12-PA6,Ga,15,PICE ABI
Ga15E12-PA7,Ga,15,PICE ABI
Ga15E12-PS8,Ga,15,PINU SYL
Ga15E14-PS13,Ga,15,PINU SYL
Ga15E14-PA14,Ga,15,PICE ABI
Ga15E14-PS15,Ga,15,PINU SYL
Ga15E14-PS16,Ga,15,PINU SYL
Ga15G12-PS1,Ga,15,PINU SYL
Ga15G12-PA2,Ga,15,PICE ABI
Ga15G12-PA3,Ga,15,PICE ABI
Ga15G12-PS4,Ga,15,PINU SYL
Gd01B 2-PS1,Gd,01,PINU SYL
Gd01B 2-PA2,Gd,01,PICE ABI
Gd01B 2-PS3,Gd,01,PINU SYL
Gd01B 2-PS4,Gd,01,PINU SYL
Gd01B 2-PS5,Gd,01,PINU SYL
Gd01C 2-PS1,Gd,01,PINU SYL
Gd01C 2-PS2,Gd,01,PINU SYL
Gd01C 2-PA3,Gd,01,PICE ABI
Gd01C 2-PA4,Gd,01,PICE ABI
Gd01C 2-PA5,Gd,01,PICE ABI
Gd01E 3-PA1,Gd,01,PICE ABI
Gd01E 3-PA2,Gd,01,PICE ABI
Gd01E 3-PA3,Gd,01,PICE ABI
Gd01E 3-BP4,Gd,01,BETU PUB
Gd01E 3-PS5,Gd,01,PINU SYL
Gd01F 4-PS1,Gd,01,PINU SYL
Gd01F 4-PS2,Gd,01,PINU SYL
Gd01F 4-PS3,Gd,01,PINU SYL
Gd01F 4-QR4,Gd,01,QUER ROB
Gd01F 4-PS5,Gd,01,PINU SYL
Gd06B 2-PS1,Gd,06,PINU SYL
Gd06B 2-PA2,Gd,06,PICE ABI
Gd06B 2-PS3,Gd,06,PINU SYL
Gd06B 2-PS4,Gd,06,PINU SYL
Gd06B 2-PS5,Gd,06,PINU SYL
Gd06C 2-PS1,Gd,06,PINU SYL
Gd06C 2-PS2,Gd,06,PINU SYL
Gd06C 2-PA3,Gd,06,PICE ABI
Gd06C 2-PA4,Gd,06,PICE ABI
Gd06C 2-PA5,Gd,06,PICE ABI
Gd06E 3-PA1,Gd,06,PICE ABI
Gd06E 3-PA2,Gd,06,PICE ABI
Gd06E 3-PA3,Gd,06,PICE ABI
Gd06E 3-BP4,Gd,06,BETU PUB
Gd06E 3-PS5,Gd,06,PINU SYL
Gd06F 4-PS1,Gd,06,PINU SYL
Gd06F 4-PS2,Gd,06,PINU SYL
Gd06F 4-PS3,Gd,06,PINU SYL
Gd06F 4-QR4,Gd,06,QUER ROB
Gd06F 4-PS5,Gd,06,PINU SYL
Gd11B 2-PS1,Gd,11,PINU SYL
Gd11B 2-PA2,Gd,11,PICE ABI
Gd11B 2-PS3,Gd,11,PINU SYL
Gd11B 2-PS4,Gd,11,PINU SYL
Gd11B 2-PS5,Gd,11,PINU SYL
Gd11C 2-PS1,Gd,11,PINU SYL
Gd11C 2-PS2,Gd,11,PINU SYL
Gd11C 2-PA3,Gd,11,PICE ABI
Gd11C 2-PA4,Gd,11,PICE ABI
Gd11C 2-PA5,Gd,11,PICE ABI
