ÅR	MÅNAD	DAG	Precip	Temp
1996	1	1	0	-6,4
1996	1	2	0	-8,6
1996	1	3	0	-11,4
1996	1	4	0	-14,9
1996	1	5	0	-13,1
1996	1	6	0,2	-2,9
1996	1	7	1,2	0,4
1996	1	8	3,9	0,6
1996	1	9	15,6	1,7
1996	1	10	4,5	2,4
1996	1	11	0,2	2,5
1996	1	12	1,6	2,2
1996	1	13	0	2,7
1996	1	14	0,2	3,1
1996	1	15	0	0,2
1996	1	16	0,8	1
1996	1	17	1	-0,3
1996	1	18	0	-2
1996	1	19	0	-1,8
1996	1	20	0	-3,5
1996	1	21	0	-4,6
1996	1	22	0	-3,4
1996	1	23	0	-4,1
1996	1	24	0	-5,1
1996	1	25	0	-5,5
1996	1	26	0	-5,9
1996	1	27	0	-8
1996	1	28	0	-7
1996	1	29	0	-3
1996	1	30	0	-3,8
1996	1	31	0	-4
1996	2	1	0	-4
1996	2	2	0	-4,5
1996	2	3	0	-5,8
1996	2	4	0	-6,1
1996	2	5	0	-9,6
1996	2	6	0	-7,5
1996	2	7	0	-9,4
1996	2	8	0	-10,1
1996	2	9	0	-8,9
1996	2	10	0	-8,2
1996	2	11	0	-5,5
1996	2	12	0	-5
1996	2	13	0	-6,8
1996	2	14	0	-6,8
1996	2	15	4,5	0,2
1996	2	16	9,1	1,1
1996	2	17	0	-6,4
1996	2	18	0	-11,7
1996	2	19	0	-9,1
1996	2	20	0	-8,1
1996	2	21	0	-8,3
1996	2	22	0	-9,1
1996	2	23	0,4	-2,9
1996	2	24	0	-2,3
1996	2	25	4,3	-4,7
1996	2	26	9,7	1,1
1996	2	27	0	0,1
1996	2	28	1,2	-1,1
1996	2	29	0	0,5
1996	3	1	0	0,7
1996	3	2	0	-0,9
1996	3	3	0	-2,1
1996	3	4	0	-0,5
1996	3	5	0	0,8
1996	3	6	2	-0,7
1996	3	7	0	0,1
1996	3	8	0	-0,3
1996	3	9	0	-0,2
1996	3	10	0	-2,5
1996	3	11	0	-3,1
1996	3	12	0	-3,5
1996	3	13	0	-2,3
1996	3	14	0	-1,1
1996	3	15	0	-0,8
1996	3	16	0	-1,4
1996	3	17	0	-0,7
1996	3	18	0	-1,9
1996	3	19	0	-1,5
1996	3	20	0	0,5
1996	3	21	0	-1,6
1996	3	22	0	-2,4
1996	3	23	0	1,2
1996	3	24	0	0,2
1996	3	25	0	1,8
1996	3	26	0	0,4
1996	3	27	2,8	1,3
1996	3	28	10,4	0,1
1996	3	29	2,8	-0,6
1996	3	30	0,8	-2,1
1996	3	31	1,8	-1,7
1996	4	1	2,2	-1,6
1996	4	2	3,7	-1,9
1996	4	3	7,7	1
1996	4	4	0,2	2,5
1996	4	5	0	4
1996	4	6	0	7,7
1996	4	7	0	8,9
1996	4	8	0	8,9
1996	4	9	0	7
1996	4	10	0	3,1
1996	4	11	0	-1,3
1996	4	12	0	-0,2
1996	4	13	0	2,2
1996	4	14	0	6,2
1996	4	15	0	3,7
1996	4	16	0	6,7
1996	4	17	0	8,9
1996	4	18	0	9,4
1996	4	19	5,9	8,2
1996	4	20	0	8,3
1996	4	21	0	12,5
1996	4	22	0	15,6
1996	4	23	1,6	15,6
1996	4	24	1,6	8,8
1996	4	25	19,9	6,1
1996	4	26	0	6,6
1996	4	27	1,4	6,4
1996	4	28	0	5,7
1996	4	29	0,8	5,4
1996	4	30	1	5,3
1996	5	1	0	7,6
1996	5	2	12,8	7,4
1996	5	3	0,6	7,4
1996	5	4	11,8	7,8
1996	5	5	20,7	5,9
1996	5	6	3,9	4,6
1996	5	7	0,6	5,5
1996	5	8	0	7,5
1996	5	9	0	6,4
1996	5	10	4,7	3,2
1996	5	11	4,7	4,8
1996	5	12	0	12,1
1996	5	13	0	15,8
1996	5	14	0,2	16,6
1996	5	15	0,4	6,5
1996	5	16	0	4,1
1996	5	17	3,5	3,1
1996	5	18	6,9	1,4
1996	5	19	26,8	3,3
1996	5	20	6,3	3,8
1996	5	21	0,6	5
1996	5	22	0,2	6,9
1996	5	23	1,4	9
1996	5	24	12	8,4
1996	5	25	0,2	7
1996	5	26	0	6,8
1996	5	27	0	8,1
1996	5	28	0	7,8
1996	5	29	10,6	5,7
1996	5	30	0,8	9,4
1996	5	31	0,2	12,2
1996	6	1	3	10,4
1996	6	2	0	10,4
1996	6	3	0	11,2
1996	6	4	0,4	11,3
1996	6	5	0	13,2
1996	6	6	0	16,1
1996	6	7	0	18,1
1996	6	8	22,7	16,8
1996	6	9	0,2	16,7
1996	6	10	0	16,7
1996	6	11	14,4	15,9
1996	6	12	5,9	13,9
1996	6	13	0,2	13,2
1996	6	14	0	12,1
1996	6	15	0	15,2
1996	6	16	0	15,9
1996	6	17	5,3	13,4
1996	6	18	13,4	10,2
1996	6	19	0,8	10,9
1996	6	20	3,5	11,2
1996	6	21	0	11,8
1996	6	22	0	11,3
1996	6	23	4,3	15,3
1996	6	24	0	16
1996	6	25	0,2	16,9
1996	6	26	0,2	14
1996	6	27	0	13
1996	6	28	0	14,9
1996	6	29	2	13,8
1996	6	30	3,7	14,6
1996	7	1	0,4	11,8
1996	7	2	0,2	11,5
1996	7	3	4,1	12,6
1996	7	4	12,4	14,5
1996	7	5	2,2	14,2
1996	7	6	0	12,8
1996	7	7	0,8	13,5
1996	7	8	0,4	12,4
1996	7	9	0,4	13,3
1996	7	10	0	15,9
1996	7	11	0	16,5
1996	7	12	0	16,9
1996	7	13	0,8	13,4
1996	7	14	0	14,9
1996	7	15	0	15,3
1996	7	16	0	15,9
1996	7	17	0	14,6
1996	7	18	0	13,9
1996	7	19	0	14,2
1996	7	20	0	14,7
1996	7	21	0	14,8
1996	7	22	0	16,9
1996	7	23	0	18,6
1996	7	24	0	18,2
1996	7	25	0	17,1
1996	7	26	0	16,5
1996	7	27	0	14,9
1996	7	28	0	14,8
1996	7	29	0	14,5
1996	7	30	0	15
1996	7	31	6,1	12
1996	8	1	1,2	16
1996	8	2	0	13,9
1996	8	3	0	15,1
1996	8	4	0	15,9
1996	8	5	0	17,9
1996	8	6	0	18,8
1996	8	7	0,6	17,9
1996	8	8	0,2	16,6
1996	8	9	0,2	16,7
1996	8	10	0	18,5
1996	8	11	0	19,7
1996	8	12	0	20,3
1996	8	13	0	19,8
1996	8	14	6,1	15,9
1996	8	15	0	18,8
1996	8	16	0	20
1996	8	17	0	16
1996	8	18	0	17,9
1996	8	19	0	20,7
1996	8	20	0	21,6
1996	8	21	0,2	21,4
1996	8	22	0,8	21,6
1996	8	23	0	20,4
1996	8	24	13,3	18
1996	8	25	0	16,8
1996	8	26	5,1	15,5
1996	8	27	0	16,2
1996	8	28	8,3	17,4
1996	8	29	15,2	16,1
1996	8	30	3,2	15,5
1996	8	31	1,6	14,6
1996	9	1	7,5	14,1
1996	9	2	0,2	14,6
1996	9	3	0	16,3
1996	9	4	0	13,5
1996	9	5	0	10,3
1996	9	6	0,2	9,6
1996	9	7	0	10,9
1996	9	8	0	12,6
1996	9	9	0	9,6
1996	9	10	4,2	7,9
1996	9	11	36	7,7
1996	9	12	6,5	7,2
1996	9	13	0,4	10,9
1996	9	14	0,6	8,9
1996	9	15	0	10,1
1996	9	16	0,4	10,7
1996	9	17	0	9,8
1996	9	18	0	10,5
1996	9	19	0,4	11,2
1996	9	20	0	8,4
1996	9	21	0	6,3
1996	9	22	0	8,3
1996	9	23	0	7,4
1996	9	24	0	8,4
1996	9	25	0,2	8,8
1996	9	26	0	9,2
1996	9	27	17,7	7,3
1996	9	28	2,6	10,5
1996	9	29	27,6	9,9
1996	9	30	7,5	9,9
1996	10	1	0,2	9,9
1996	10	2	0,2	8,1
1996	10	3	16,7	8,8
1996	10	4	2,2	9,2
1996	10	5	2,6	7,8
