Art	Område	År	TreeSp	Inv_nr
An02H 7-PA1	An	2002	PICE ABI	2
An02H 7-PA2	An	2002	PICE ABI	2
An02H 7-PA3	An	2002	PICE ABI	2
An02H 7-PA4	An	2002	PICE ABI	2
An02H 7-PA5	An	2002	PICE ABI	2
An02H 8-PA1	An	2002	PICE ABI	2
An02H 8-PA2	An	2002	PICE ABI	2
An02H 8-PA3	An	2002	PICE ABI	2
An02H 8-PA4	An	2002	PICE ABI	2
An02H 8-PA5	An	2002	PICE ABI	2
An02J 5-PA1	An	2002	PICE ABI	2
An02J 5-PA2	An	2002	PICE ABI	2
An02J 5-PS3	An	2002	PINU SYL	2
An02J 5-PA4	An	2002	PICE ABI	2
An02J 5-PA5	An	2002	PICE ABI	2
An02L10-PA1	An	2002	PICE ABI	2
An02L10-PA2	An	2002	PICE ABI	2
An02L10-PA3	An	2002	PICE ABI	2
An02L10-PA4	An	2002	PICE ABI	2
An02L10-PA5	An	2002	PICE ABI	2
An07H 4-PA1	An	2007	PICE ABI	3
An07H 4-PA2	An	2007	PICE ABI	3
An07H 4-PA3	An	2007	PICE ABI	3
An07H 4-PA4	An	2007	PICE ABI	3
An07H 4-PA5	An	2007	PICE ABI	3
An07I 7-PA1	An	2007	PICE ABI	3
An07I 7-PA2	An	2007	PICE ABI	3
An07I 7-BZ3	An	2007	BETULA Z	3
An07I 7-PA4	An	2007	PICE ABI	3
An07I 7-PA5	An	2007	PICE ABI	3
An07I 8-PA1	An	2007	PICE ABI	3
An07I 8-PA2	An	2007	PICE ABI	3
An07I 8-PA3	An	2007	PICE ABI	3
An07I 8-PA4	An	2007	PICE ABI	3
An07I 8-PA5	An	2007	PICE ABI	3
An07J 5-PS3	An	2007	PINU SYL	3
An07J 5-PA6	An	2007	PICE ABI	3
An07J 5-BZ7	An	2007	BETULA Z	3
An07J 5-PA8	An	2007	PICE ABI	3
An07J 5-PA9	An	2007	PICE ABI	3
An12I 8-PA4	An	2012	PICE ABI	4
An12I 8-PT6	An	2012	POPU TRA	4
An12I 8-PA7	An	2012	PICE ABI	4
An12I 8-PA8	An	2012	PICE ABI	4
An12I 8-PA9	An	2012	PICE ABI	4
An12H 4-PA1	An	2012	PICE ABI	4
An12H 4-PA2	An	2012	PICE ABI	4
An12H 4-PA3	An	2012	PICE ABI	4
An12H 4-PA6	An	2012	PICE ABI	4
An12H 4-PA7	An	2012	PICE ABI	4
An12J 5-PS3	An	2012	PINU SYL	4
An12J 5-PA10	An	2012	PICE ABI	4
An12J 5-PA11	An	2012	PICE ABI	4
An12J 5-PA12	An	2012	PICE ABI	4
An12J 5-PA13	An	2012	PICE ABI	4
An12J 7-PA1	An	2012	PICE ABI	4
An12J 7-PA2	An	2012	PICE ABI	4
An12J 7-PA3	An	2012	PICE ABI	4
An12J 7-PS4	An	2012	PINU SYL	4
An12J 7-BP5	An	2012	BETULA Z	4
An97H 7-PA1	An	1997	PICE ABI	1
An97H 7-PA2	An	1997	PICE ABI	1
An97H 7-PA3	An	1997	PICE ABI	1
An97H 7-PA4	An	1997	PICE ABI	1
An97H 7-PA5	An	1997	PICE ABI	1
An97H 8-PA1	An	1997	PICE ABI	1
An97H 8-PA2	An	1997	PICE ABI	1
An97H 8-PA3	An	1997	PICE ABI	1
An97H 8-PA4	An	1997	PICE ABI	1
An97H 8-PA5	An	1997	PICE ABI	1
An97J 5-PA1	An	1997	PICE ABI	1
An97J 5-PA2	An	1997	PICE ABI	1
An97J 5-PS3	An	1997	PINU SYL	1
An97J 5-PA4	An	1997	PICE ABI	1
An97J 5-PA5	An	1997	PICE ABI	1
An97L10-PA1	An	1997	PICE ABI	1
An97L10-PA2	An	1997	PICE ABI	1
An97L10-PA3	An	1997	PICE ABI	1
An97L10-PA4	An	1997	PICE ABI	1
An97L10-PA5	An	1997	PICE ABI	1
Ga00C12-PS9	Ga	2000	PINU SYL	1
Ga00C12-BZ10	Ga	2000	BETULA Z	1
Ga00C12-PS11	Ga	2000	PINU SYL	1
Ga00C12-PS12	Ga	2000	PINU SYL	1
Ga00E10-PA17	Ga	2000	PICE ABI	1
Ga00E10-SC18	Ga	2000	SALI CAP	1
Ga00E10-PA19	Ga	2000	PICE ABI	1
Ga00E10-PA20	Ga	2000	PICE ABI	1
Ga00E12-PT5	Ga	2000	POPU TRA	1
Ga00E12-PA6	Ga	2000	PICE ABI	1
Ga00E12-PA7	Ga	2000	PICE ABI	1
Ga00E12-PS8	Ga	2000	PINU SYL	1
Ga00E14-PS13	Ga	2000	PINU SYL	1
Ga00E14-PA14	Ga	2000	PICE ABI	1
Ga00E14-PS15	Ga	2000	PINU SYL	1
Ga00E14-PS16	Ga	2000	PINU SYL	1
Ga00G12-PS1	Ga	2000	PINU SYL	1
Ga00G12-PA2	Ga	2000	PICE ABI	1
Ga00G12-PA3	Ga	2000	PICE ABI	1
Ga00G12-PS4	Ga	2000	PINU SYL	1
Ga05C12-PS9	Ga	2005	PINU SYL	2
Ga05C12-BZ10	Ga	2005	BETULA Z	2
Ga05C12-PS11	Ga	2005	PINU SYL	2
Ga05C12-PS12	Ga	2005	PINU SYL	2
Ga05E10-PA17	Ga	2005	PICE ABI	2
Ga05E10-SC18	Ga	2005	SALI CAP	2
Ga05E10-PA19	Ga	2005	PICE ABI	2
Ga05E10-PA20	Ga	2005	PICE ABI	2
Ga05E12-PT5	Ga	2005	POPU TRA	2
Ga05E12-PA6	Ga	2005	PICE ABI	2
Ga05E12-PA7	Ga	2005	PICE ABI	2
Ga05E12-PS8	Ga	2005	PINU SYL	2
Ga05E14-PS13	Ga	2005	PINU SYL	2
Ga05E14-PA14	Ga	2005	PICE ABI	2
Ga05E14-PS15	Ga	2005	PINU SYL	2
