	Alectoria.sarmentosa	Arthonia.leucopellaea	Bacidia.arceutina	Biatora.carneoalbida	Biatora.efflorescens	Bryoria.capillaris/fuscescens	Bryoria.furcellata	Bryoria.fuscescens	BRYORIA.SP.	Calicium.parvum	Calicium.viride	Caloplaca.flavorubescens	Cetraria.chlorophylla	Cetraria.pinastri	Chaenotheca.chrysocephala	Chaenotheca.ferruginea	Chaenotheca.subroscida	Chaenotheca.trichialis	Cladonia.coniocraea	Cladonia.digitata	Cladonia.pyxidata	Cladonia.sp.	Cladonia.squamosa	Dicranum.fuscescens	Dimerella.pineti	Fuscidea.pusilla	Hypnum.cupressiforme	Hypocenomyce.scalaris	Hypogymnia.physodes	Hypogymnia.tubulosa	Imshaugia.aleurites	Japewia.subaurifera	Lecanactis.abietina	Lecanora.conizaeoides	Lecidea.nylanderi	Lepidozia.reptans	Lepraria.incana	Lobaria.pulmonaria	Loxospora.elatina	Micarea.prasina	Mycoblastus.sanguinarius	Ochrolechia.androgyna	Ochrolechia.microstictoides	OCHROLECHIA.SP.	Parmelia.saxatilis	Parmelia.sulcata	Parmeliopsis.ambigua	Parmeliopsis.hyperopta	Phlyctis.argena	Physcia.stellaris	Platismatia.glauca	Pseudevernia.furfuracea	Sphaerophorus.globosus	Thelotrema.lepadinum	Trapeliopsis.pseudogranulosa	Usnea.filipendula	Usnea.subfloridana
An02H 7-PA1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	177	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 7-PA2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	227	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 7-PA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 7-PA4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	3	0	0	0	13	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 7-PA5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 8-PA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	11	0	0	0	83	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 8-PA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	8	0	0	0	46	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
An02H 8-PA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	60	0	0	0	34	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
An02H 8-PA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	128	0	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
An02H 8-PA5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	16	0	0	0	2	0	0	0	17	0	9	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	5	0
